학교명,본분교,지역,비고
가톨릭꽃동네대학교,본교,충북,신뢰 가능한 후보 없음
강서대학교,본교,서울,신뢰 가능한 후보 없음
경북보건대학교,본교,경북,신뢰 가능한 후보 없음
경상국립대학교,본교,경남,신뢰 가능한 후보 없음
광주과학기술원,본교,광주,신뢰 가능한 후보 없음
국립군산대학교,본교,전북,신뢰 가능한 후보 없음
국제사이버대학교,본교,경기,신뢰 가능한 후보 없음
나주대학교,본교,전남,신뢰 가능한 후보 없음
대구경북과학기술원,본교,대구,신뢰 가능한 후보 없음
대전과학기술대학교,본교,대전,신뢰 가능한 후보 없음
동아보건대학교,본교,전남,신뢰 가능한 후보 없음
부산보건대학교,본교,부산,신뢰 가능한 후보 없음
서울한영대학교,본교,서울,신뢰 가능한 후보 없음
성운대학교,본교,경북,신뢰 가능한 후보 없음
숭실사이버대학교,본교,서울,신뢰 가능한 후보 없음
신경주대학교,본교,경북,신뢰 가능한 후보 없음
신한대학교,본교,경기,신뢰 가능한 후보 없음
신한대학교,제2캠퍼스,경기,신뢰 가능한 후보 없음
아신대학교,본교,경기,신뢰 가능한 후보 없음
연암대학교,본교,충남,신뢰 가능한 후보 없음
용인예술과학대학교,본교,경기,신뢰 가능한 후보 없음
울산과학기술원,본교,울산,신뢰 가능한 후보 없음
재능대학교,본교,인천,신뢰 가능한 후보 없음
충남도립대학교,본교,충남,신뢰 가능한 후보 없음
태재대학교,본교,서울,신뢰 가능한 후보 없음
포항공과대학교,본교,경북,신뢰 가능한 후보 없음
한경국립대학교,본교,경기,신뢰 가능한 후보 없음
한국골프과학기술대학교,본교,강원,신뢰 가능한 후보 없음
한국공학대학교,본교,경기,신뢰 가능한 후보 없음
한국과학기술원,본교,대전,신뢰 가능한 후보 없음
한국에너지공과대학교,본교,전남,신뢰 가능한 후보 없음
한국열린사이버대학교,본교,서울,신뢰 가능한 후보 없음
한국침례신학대학교,본교,대전,신뢰 가능한 후보 없음
호산대학교,본교,경북,신뢰 가능한 후보 없음
화성의과학대학교,본교,경기,신뢰 가능한 후보 없음
ICT폴리텍대학,본교,경기,신뢰 가능한 후보 없음
